"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec35HIIi6CIj2I0T","alveary-recmTgo9wf4Xws6BE","1","1","30m Ancient History: Grades 7-9 - Lesson 1","<p>Meeting Sulla<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ INTRO<br>This year, you are learning about ancient Rome. We are not starting at the beginning with the legend of Romulus and Remus in 753 B.C. We are jumping ahead to 88 BC. The Roman Republic has become a world power. It has marched through the Greek world, razed cities like Carthage, and unseated powerful people. As Pascal Hughes says, &quot;the march of Rome appears unstoppable.&quot; <br>However, what had once been a republic, which enabled certain people to vote in their leadership, was quickly becoming more of a dictatorship, which is where one person assumes absolute power. There were a number of factors that led to Sulla becoming the first dictator in the Roman Republic. He assumed power through political violence, manipulation of land and resources, and military coups. In 88 BC, the Republic found itself in danger. <br>Sulla's story doesn't start at the beginning of his dictatorship. As you read through Sulla's story, make sure to note any questions that come up from the reading. You can either discuss these questions with someone or write them down.</p><p>➜ READ, NARRATE &amp; DISCUSS<br>Ch.6 p.89-99 - end at &quot;political violence tamed&quot;</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Find Carthage, Rome, and any other cities that pop up in your reading to familiarize yourself with the world of Ancient Rome.</p><p>• STUDENT TIP<br>Be sure to add some people, events, and drawings of artifacts to your book of centuries. Mark potential items with a Post-it note as you read so you remember to find something when you sit down to work in your book.</p><p>• IMPORTANT DATES<br>Carthage is razed by Scipio Aemilianus in 146 BC<br>Tiberius Gracchus is elected in 133 BC<br>Sulla becomes dictator in 82 BC<br>Sulla resigns as dictator in 80 BC and dies in 78 BC</p>","","","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-recNRvk2XGQbEG5Fp","2","1","30m Ancient History: Grades 7-9 - Lesson 2","<p>Meeting Sulla Continued...<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ RECAP<br>Review the timeline at the beginning of the chapter and think back to last week's readings. What do you remember about Sulla?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.6 p.99-107 - start at &quot;the Coming Men&quot;</p><p>• What in the chapter was surprising to you?</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• STUDENT TIP<br>Be sure to add some people, events, and drawings of artifacts to your book of centuries. Mark potential items with a Post-it note as you read so you remember to find something when you sit down to work in your book.</p><p>• COMPOSITION<br>Pretend you are a news reporter interviewing Sulla. What questions would you ask him?</p>","","","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-recJqs9OOOnIxLztu","3","1","30m Ancient History: Grades 7-9 - Lesson 3","<p>Spartacus and a Revolt<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ INTRO<br>Rome was built on slavery. In 73 BC, there were more than a million people enslaved in Rome's Italian lands. As Pascal Hughes says, &quot;Some have been bought from foreign merchants, others taken by military conquest, or enslaved as a punishment for criminality. Then there are the unfortunates who were born into bondage, or who are the victims of kidnap by slavers, or who could see no other option in life than to sell themselves into servitude.&quot;<br>However, revolution came to Rome, and it was led by a slave named Spartacus. There are modern-day movies that praise the bravery of this man and those who rose up with him against the powers that shackled them. Spartacus' story is fraught with bravery and peril, yet it left him a legend in the history books. As you read through Spartacus' story, what sticks out to you? Make sure to note any questions that come up from the reading. You can either discuss these questions with someone or write them down.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.7 p.110-118 - stop at &quot;Third Servile War&quot;</p><p>• How did Spartacus' actions influence the Roman Empire?</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• IMPORTANT DATES<br>Spartacus leads his revolt in 73</p>","","","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-recJc5bofk5kwr2wp","4","1","30m Ancient History: Grades 7-9 - Lesson 4","<p>The Beginning of a Legend<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ RECAP<br>Review the timeline at the beginning of the chapter and think back to last week's readings. What do you remember about Spartacus?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.7 p.118-126 - start at &quot;To Vesuvius&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Video Link: From Enslavement to Rebel Gladiator: The Life of Spartacus<br>Watch the 5-minute video that summarizes Spartacus' revolt and then discuss the similarities and differences between the video and the chapter you've completed.</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• STUDENT TIP<br>Be sure to add some people, events, and drawings of artifacts to your book of centuries. Mark potential items with a Post-it note as you read so you remember to find something when you sit down to work in your book.</p>","","https://planning.alveary.org/links.html?id=rec35HIIi6CIj2I0T&term=1&week=4","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-recoemKQ3PSk05Ab8","5","1","30m Ancient History: Grades 7-9 - Lesson 5","<p>Introducing Caesar<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ INTRO<br>Around the end of the 15th century, William Shakespeare wrote a tragedy titled Julius Caesar. The story of Julius Caesar captured audiences' attention then, and it remains prominent in our modern-day culture. The blood, betrayal, and scandal of the story is what has led to this story's permanence. But as you will read, there is more to this story. Julius Caesar becomes a famous leader for a number of reasons. As you read through the story retold by Pascal Hughes, consider the many reasons Julius Caesar's story might attract so much attention.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.8 p.128-137 - stop at &quot;even bigger one&quot;</p><p>• Why is Julius Caesar's story so infamous?</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• EXTRA HELPING<br>If you have any interest in reading Shakespeare's play Julius Caesar, you can find it at the link provided. <br>∞ Link: Folger Shakespeare Library: Julius Caesar</p>","","https://planning.alveary.org/links.html?id=rec35HIIi6CIj2I0T&term=1&week=5","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-recJ8j2WsjiYkUDd0","6","1","30m Ancient History: Grades 7-9 - Lesson 6","<p>Caesar's Antics<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ RECAP<br>Review the timeline at the beginning of the chapter and think back to last week's readings. What did you learn about Caesar?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.8 p.137-152 - start at &quot;Triumvirate&quot;</p><p>• What was the most interesting thing in this week's reading?</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• IMPORTANT DATES<br>Julius Caesar is assassinated in 44 BC</p>","","","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-rectoCAYYMBff0Qpm","7","1","30m Ancient History: Grades 7-9 - Lesson 7","<p>Introducing Octavian<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ INTRO<br>With Julius Caesar's death came the question of who would succeed him. That position would fall upon Octavian. But it would not be easy to assume the position, as others would be looking to take his place. Make sure to note any questions that come up from the reading. You can either discuss these questions with someone or write them down.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.9 p.154-164 - end at &quot;of the Roman World&quot;</p><p>• What was the most interesting thing in this week's reading?</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• IMPORTANT DATES<br>The second Triumvirate is formed in 43 BC</p>","","","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-rec7tnIhOLhCsTogs","8","1","30m Ancient History: Grades 7-9 - Lesson 8","<p>Antony and Cleopatra<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ RECAP<br>Review the timeline at the beginning of the chapter and think back to last week's readings. What did you learn about Octavian?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.9 p.164-172 - start at &quot;Antony and Cleopatra&quot;</p><p>• There is much debate in the historical community as to the reasons the Roman Republic fell. What do you think contributed to the fall of the Roman Empire?</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• STUDENT TIP<br>Be sure to add some people, events, and drawings of artifacts to your book of centuries. Mark potential items with a Post-it note as you read so you remember to find something when you sit down to work in your book.</p><p>• IMPORTANT DATES<br>Mark Antony and Cleopatra are defeated and both die in 30 BC<br>History of Rome is written by Livy between 27 BC and 9 BC<br>Jesus is crucified around 33 AD<br>Jesus resurrects around 33 AD</p>","","","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-recO34d1OjTPgusX5","9","1","30m Ancient History: Grades 7-9 - Lesson 9","<p>Nero<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ INTRO<br>Emperor Nero is another famous ruler, but his notoriety comes from the evil that he did as Emperor of Rome. Nero was most known for his murder of anyone who opposed or threatened him. And as Jesus' popularity had increased and his teachings had spread, Nero picked out a new target for his ire: the Christians. Martyrdom under Nero would become infamously horrendous. It is from Nero's time that we have many stories of men and women who died for Christ.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.10 p.174-184 - stop at &quot;this bore Nero.&quot;</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p><p>• IMPORTANT DATES<br>The Great Fire of Rome in 64 AD</p>","<p>★ TEACHER TIP<br>This chapter may have sensitive content. Depictions of martyrdom are essential to understanding the early church's plight, but Nero is known for his horrific treatment of people whom he saw as enemies.</p>","","Lesson","0","FALSE"
"alveary-rec35HIIi6CIj2I0T","alveary-recsqO56wL0jxX2bv","10","1","30m Ancient History: Grades 7-9 - Lesson 10","<p>Nero Continued...<br>⍞ Materials: A Short History of Ancient Rome, Historical Atlas of the World</p><p>➜ RECAP<br>Review the timeline at the beginning of the chapter and think back to last week's readings. What did you learn about Nero?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.10 p.184-191 - start at &quot;The despot&quot;</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World, p.14-15. Locate the various places mentioned in your readings.</p>","<p>★ TEACHER TIP<br>This chapter may have sensitive content. Depictions of martyrdom are essential to understanding the early church's plight, but Nero is known for his horrific treatment of people whom he saw as enemies.</p>","","Lesson","0","FALSE"
