"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recx62ZEgAggQYyrE","1","1","30m New Testament: Grade 9 - Lesson 1","<p>⍞ Materials: Cultural Backgrounds Study Bible, Introducing the New Testament, Luke for Everyone, notebook</p><p>➜ INTRO<br>Each year in HS, we will be reading one of the Gospels along with our study of the rest of the New Testament books. This year, we will be reading Luke along with Galatians, Philippians, and Colossians. It is helpful to be continually reminded of who Jesus is and how he interacted with people. The Gospel accounts were designed to be read many times. There will be insights gained that you would only pick up after multiple readings and by paying attention to repeated words and themes.</p><p>We will make use of the Cultural Backgrounds Study Bible notes and maps, Introducing the New Testament (selections), a Luke commentary (selections), and some Bible Project videos to help us understand what Luke and Paul are saying to their audiences. Then we can think about what new thoughts about God we gain in the process. You do not need to read all the study notes for all the verses. Pick and choose based on which verses you have questions about. Use a digital or physical notebook to record your thoughts as you work your way through the readings.</p><p>➜ VIEW &amp; NARRATE<br>Today and over the next few weeks, we will set the stage for reading Luke and the Epistles by gaining some context. Narrate silently in your head or by talking to yourself to go over the main points. Write down a few of them in your journal.<br>∞ Video Link: How to Read the New Testament</p><p>➜ READ &amp; NARRATE<br>Introducing the New Testament<br>Ch.1 p.17-24<br>Make a list with a short description of the rulers in Palestine at the time of Jesus.</p><p>➜ MAP WORK<br>When places are named in the text, refer to a map in the Study Bible or in the Introducing the NT book. Finding the places on the map is very helpful for seeing the stories in the context of the land. Sketching your own maps of journeys or regions can be helpful too.</p><p>────────────────────<br>ADDITIONAL NOTES<br>────────────────────</p><p>★ STUDENT/TEACHER NOTE<br>These two journal options with different designs contain only the Bible book text and space to write. You may find them a good choice for your studies this year, as you can underline, highlight, or make notes right on the page.</p><p>∞ Link: ESV Scripture Journal Luke<br>∞ Link: ESV Illuminated Scripture Journal Luke</p>","","https://planning.alveary.org/links.html?id=recoMhQxH5fSajKtj&term=1&week=1","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-reco0LtEYpi6KK73r","2","1","30m New Testament: Grade 9 - Lesson 2","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ READ  <br>Luke 1</p><p>➜ NARRATE &amp; RESPOND<br>Talk over to yourself what you just read. Then, respond to what you read by putting down a few of your thoughts or questions. Just as in nature study, when we ask questions such as, “What do I notice? What do I wonder? What does this remind me of?” we can ask the same questions about what we read.</p><p>➜ READ <br>Pick one of the Luke for Everyone readings discussing verses from Luke 1. Jot down any new insights or thoughts.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.1 p.31-32 &quot;Social Systems&quot; - &quot;more than they needed.&quot;<br>Write a sentence summarizing the mindset of the NT world towards wealth and poverty.</p><p>────────────────────<br>ADDITIONAL NOTES<br>────────────────────</p><p>★ STUDENT/TEACHER NOTE<br>Instead of reading Luke for some of the lessons, consider watching and listening to Luke via the LUMO Project, which only uses the actual text of Luke but has people acting while it is read. There are many versions and many languages available. You might consider this resource for your modern language studies, too. However, be sure to ask yourself, &quot;What did the film add visually that the Gospel text itself did not explicitly say?” as any visualization project requires interpretive decisions to be made.</p><p>∞ Video Links: <br>Lumo Project Luke 1:1-38<br>Lumo Project Luke 1:39-80</p>","","https://planning.alveary.org/links.html?id=recoMhQxH5fSajKtj&term=1&week=2","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recf7Q3DuQnRwX4la","3","1","30m New Testament: Grade 9 - Lesson 3","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ<br>Luke 2-3</p><p>➜ NARRATE &amp; RESPOND<br>Talk over to yourself what you just read. Then, respond to what you read by putting down a few of your thoughts or questions.</p><p>➜ READ <br>Choose a reading from Luke 2-3 in Luke for Everyone to read. Write down any thoughts.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.1 p.32-33 &quot;Patronage and Loyalty&quot; - &quot;to serve (faith).&quot;<br>Write a sentence summarizing the mindset of the NT world towards patronage and loyalty.</p><p>────────────────────<br>ADDITIONAL NOTES<br>────────────────────</p><p>★ STUDENT/TEACHER NOTE<br>The Bible Project has an app with a weekly playlist to go deeper into many topics for continued study.</p><p>∞ Info Link: Bible Project App</p>","","https://planning.alveary.org/links.html?id=recoMhQxH5fSajKtj&term=1&week=3","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recqQK40G0qKWTknG","4","1","30m New Testament: Grade 9 - Lesson 4","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; RESPOND<br>Luke 4-5</p><p>➜ READ <br>Choose a reading from Luke 4-5 in Luke for Everyone to read. Write down any thoughts.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.1 p.33-34 &quot;Honor and Shame&quot; - &quot;of the cross (Heb. 12:2).&quot;<br>Write a sentence summarizing the mindset of the NT world towards honor and shame.</p>","","","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recHXAUiZL2ZYvY8c","5","1","30m New Testament: Grade 9 - Lesson 5","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; RESPOND<br>Luke 6-7</p><p>➜ READ <br>Choose a reading from Luke 6-7 in Luke for Everyone to read. Write down your thoughts.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.1 p.34-35 &quot;Life under Roman Rule&quot; - &quot;to Roman gods (see box 26.6).&quot;<br>Write a few sentences summarizing life under Roman Rule.</p><p>────────────────────<br>ADDITIONAL NOTES<br>────────────────────</p><p>• GEOGRAPHY WORK<br>Don't forget to find place names on your maps or sketch a map that shows where the events are taking place.</p>","","","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recxGVAABq7EmLpsf","6","1","30m New Testament: Grade 9 - Lesson 6","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; RESPOND<br>Luke 8-9</p><p>➜ READ<br>Choose a reading from your chapters in Luke for Everyone to read.<br>Jot down your thoughts, reflections, and observations.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.2 p.39-41 &quot;The New Testament&quot; - &quot;Second Temple period- and beyond.&quot;<br>Write a few sentences summarizing &quot;the story thus far.&quot;</p><p>────────────────────<br>ADDITIONAL NOTES<br>────────────────────</p><p>★ STUDENT/TEACHER NOTE<br>The Bible Project has an interesting video and podcast series on the parables if you are interested in learning more!</p><p>∞ Video Link: How to Read the Parables<br>∞ Podcast Series Link: Decoding the Parables</p>","","https://planning.alveary.org/links.html?id=recoMhQxH5fSajKtj&term=1&week=6","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-rech6tePmA56u6gzl","7","1","30m New Testament: Grade 9 - Lesson 7","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; RESPOND<br>Luke 10-11</p><p>➜ READ<br>Choose a reading from your chapters in Luke for Everyone to read.<br>Jot down your thoughts, reflections, and observations.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.2 p.41-43 &quot;The People of Palestine&quot; - &quot;missionary for Christ (see Phil. 3:5).&quot;<br>Write a few sentences summarizing the Pharisees.</p><p>────────────────────<br>ADDITIONAL NOTES<br>────────────────────</p><p>★ STUDENT/TEACHER NOTE<br>Set up a time to discuss with a parent or teacher what you are learning.</p>","","","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recszm5Ay7BLOMiCK","8","1","30m New Testament: Grade 9 - Lesson 8","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; RESPOND<br>Luke 12-13</p><p>➜ READ<br>Don't forget to read any study notes in your Bible that you are curious about. Choose a reading from Luke for Everyone to read. Jot down your thoughts, reflections, and observations.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.2 p.43-46 &quot;Sadducees&quot; - &quot;some of their ideas.&quot;<br>Write a few sentences summarizing the Sadducees and the Essenes.</p>","","","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recgUHVjvWNBYdBV2","9","1","30m New Testament: Grade 9 - Lesson 9","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; RESPOND<br>Luke 14-15</p><p>➜ READ<br>Luke for Everyone <br>Jot down your thoughts, reflections, and observations.</p><p>➜ READ <br>Introducing the New Testament<br>Ch.2 p.46-49 &quot;Zealots&quot; - &quot;became Christians (Acts 8:5-17).&quot;<br>Write a few sentences summarizing the Zealots, Herodians, and Samaritans.</p>","","","Lesson","0","FALSE"
"alveary-recoMhQxH5fSajKtj","Import is Current","alveary-recN0zx78JaCeD5uI","10","1","30m New Testament: Grade 9 - Lesson 10","<p>⍞ Materials: Cultural Backgrounds Study Bible, Luke for Everyone, Introducing the NT</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; RESPOND<br>Luke 16-17</p><p>➜ READ &amp; REFLECT<br>Luke for Everyone</p><p>➜ READ <br>Introducing the New Testament<br>Ch.2 p.49-50 &quot;Gentiles&quot; - &quot;(see Acts 10:1-2).&quot;<br>Write a few sentences summarizing the Gentiles.</p>","","","Lesson","0","FALSE"
